"Openbare bibliotheken"
""
"";"";"Periods"
"Subject";"";"2005, excluding provincial organisations";"2006, excluding provincial organisations";"2007, excluding provincial organisations";"2008, excluding provincial organizations";"2009, excluding provincial organisations";"2010, excluding provincial organizations";"2011, excluding provincial organisations";"2012, excluding provincial organisations";"2013, excluding provincial organisations";"2014, excluding provincial organisations";"2015, excluding provincial organisations";"2016, excluding provincial organisations";"2017, excluding provincial organisations";"2018, excluding provincial organisations";"2019, excluding provincial organisations";"2020, excluding provincial organizations";"2021, excluding provincial organisations";"2022, excluding provincial organisations*"
"Aantal openbare bibliotheken";"number";"341";"238";"202";"194";"171";"166";"163";"162";"160";"157";"156";"154";"149";"146";"145";"140";"139";"137"
"Collectie|Totaal collectie";"x 1 000";"35440";"33883";"33921";"33711";"32088";"31323";"30667";"29120";"27411";"26561";"25356";"24859";"25201";"24417";"24378";"24818";"23817";"23542"
"Collectie|Boeken|Totaal boeken";"x 1 000";"31269";"31158";"31211";"31047";"29299";"28532";"27922";"26487";"24837";"24243";"23231";"22924";"23342";"22717";"22798";"23382";"22607";"22458"
"Collectie|Boeken|Boeken voor volwassenen|Totaal boeken volwassenen";"x 1 000";"19078";"18791";"18764";"18382";"16781";"16194";"15552";"14775";"13627";"13071";"11986";"11400";"11592";"10865";"10628";"10848";"10184";"9906"
"Collectie|Boeken|Boeken voor volwassenen|Fictie";"x 1 000";"9452";"9404";"9454";"9524";"8999";"8791";"8677";"8205";"7614";"7106";"6678";"6398";"6395";"5963";"5870";"6038";"5607";"5459"
"Collectie|Boeken|Boeken voor volwassenen|Non-fictie";"x 1 000";"9366";"9145";"9104";"8858";"7783";"7403";"6875";"6570";"6013";"5965";"5308";"5002";"5197";"4902";"4758";"4810";"4578";"4447"
"Collectie|Boeken|Boeken voor volwassenen|Naslagwerken";"x 1 000";"260";"243";"206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Collectie|Boeken|Boeken voor de jeugd|Totaal boeken voor de jeugd";"x 1 000";"12191";"12367";"12447";"12665";"12517";"12338";"12370";"11712";"11210";"11173";"11245";"11524";"11750";"11852";"12170";"12533";"12423";"12553"
"Collectie|Boeken|Boeken voor de jeugd|Fictie";"x 1 000";"8678";"8762";"8895";"9052";"8954";"8982";"9082";"8663";"8394";"8388";"8541";"8905";"9076";"9132";"9407";"9774";"9681";"9799"
"Collectie|Boeken|Boeken voor de jeugd|Non-fictie";"x 1 000";"3498";"3590";"3540";"3613";"3563";"3356";"3288";"3049";"2816";"2785";"2704";"2619";"2674";"2720";"2763";"2759";"2742";"2754"
"Collectie|Boeken|Boeken voor de jeugd|Naslagwerken";"x 1 000";"15";"15";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Collectie|Bladmuziek";"x 1 000";"591";"553";"14°";"532";"476";"494";"482";"444";"419";"380";"365";"350";"329";"330";"321";"311";"231";"229"
"Collectie|Audiovisuele materialen|Totaal audiovisuele materialen";"x 1 000";"2274";"2172";"2166";"2132";"2313";"2297";"2263";"2189";"2155";"1938";"1761";"1585";"1530";"1369";"1259";"1125";"978";"855"
"Collectie|Audiovisuele materialen|Muziek Cd's";"x 1 000";"1292";"1173";"1126";"1006";"973";"910";"818";"726";"629";"532";"450";"343";"312";"266";"42s";"146";"129";"126"
"Collectie|Audiovisuele materialen|Dvd's";"x 1 000";"594";"608";"682";"765";"834";"913";"972";"1009";"1097";"1001";"948";"911";"902";"814";"755";"735";"639";"548"
"Collectie|Audiovisuele materialen|Cd-rom's, Cd-I's";"x 1 000";"263";"239";"227";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Collectie|Audiovisuele materialen|Andere audiovisuele materialen";"x 1 000";"125";"152";"130";"361";"507";"475";"473";"454";"429";"404";"363";"331";"316";"289";"279";"244";"211";"181"
"Collectie|Losse tijdschriften";"x 1 000";"841";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Collectie|Overig collecties";"x 1 000";"465";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
