Year;Number public libraries;Total collection;Total books;Total books adults;Adult book Fiction;Adult book Non fiction;Adult reference books ;Total books infants;Infant books Fiction;Infant books Non fiction;Infant reference books;Sheet music;Total audiovisual ;CDs;DVDs;Cd_ROMs and CD_Is;Other audiovisual;Loose periodicals;Other collections
2005;341;35440;31269;19078;9452;9366;260;12191;8678;3498;15;591;2274;1292;594;263;125;841;465
2006;238;33883;31158;18791;9404;9145;243;12367;8762;3590;15;553;2172;1173;608;239;152;;
2007;202;33921;31211;18764;9454;9104;206;12447;8895;3540;12;544;2166;1126;682;227;130;;
2008;194;33711;31047;18382;9524;8858;;12665;9052;3613;;532;2132;1006;765;;361;;
2009;171;32088;29299;16781;8999;7783;;12517;8954;3563;;476;2313;973;834;;507;;
2010;166;31323;28532;16194;8791;7403;;12338;8982;3356;;494;2297;910;913;;475;;
2011;163;30667;27922;15552;8677;6875;;12370;9082;3288;;482;2263;818;972;;473;;
2012;162;29120;26487;14775;8205;6570;;11712;8663;3049;;444;2189;726;1009;;454;;
2013;160;27411;24837;13627;7614;6013;;11210;8394;2816;;419;2155;629;1097;;429;;
2014;157;26561;24243;13071;7106;5965;;11173;8388;2785;;380;1938;532;1001;;404;;
2015;156;25356;23231;11986;6678;5308;;11245;8541;2704;;365;1761;450;948;;363;;
2016;154;24859;22924;11400;6398;5002;;11524;8905;2619;;350;1585;343;911;;331;;
2017;149;25201;23342;11592;6395;5197;;11750;9076;2674;;329;1530;312;902;;316;;
2018;146;24417;22717;10865;5963;4902;;11852;9132;2720;;330;1369;266;814;;289;;
2019;145;24378;22798;10628;5870;4758;;12170;9407;2763;;321;1259;225;755;;279;;
2020;140;24818;23382;10848;6038;4810;;12533;9774;2759;;311;1125;146;735;;244;;
2021;139;23817;22607;10184;5607;4578;;12423;9681;2742;;231;978;129;639;;211;;
2022;137;23542;22458;9906;5459;4447;;12553;9799;2754;;229;855;126;548;;181;;
